Diet_type,Recipe_name,Cuisine_type,Protein(g),Carbs(g),Fat(g),Extraction_day,Extraction_time,Protein_to_Carbs_ratio,Carbs_to_Fat_ratio
keto,Cajun Keto Crackers,american,114.88,28.39,160.4,10/16/2022,17:59:29,4.046,0.177
keto,Keto Pumpkin Soup,american,29.99,78.79,135.78,10/16/2022,17:59:29,0.381,0.58
keto,Keto Pizza Crust,italian,63.02,33.96,51.77,10/16/2022,17:59:29,1.856,0.656
keto,Keto Peppermint Mocha,american,2.07,4.72,1.19,10/16/2022,17:59:29,0.439,3.966
keto,Keto Chicken Salad,mexican,56.25,43.55,149.58,10/16/2022,17:59:29,1.292,0.291
keto,Lemonade Chicken,american,373.62,18.7,43.71,10/16/2022,17:59:29,19.98,0.428
keto,Keto Vanilla Pudding,british,15.8,23.68,112.3,10/16/2022,17:59:36,0.667,0.211
keto,Keto Cheesy Eggs,american,43.94,3.04,96.5,10/16/2022,17:59:36,14.454,0.032
keto,Keto Crescent Dogs,american,166.49,34.93,267.99,10/16/2022,17:59:36,4.766,0.13
keto,Keto Egg Salad,american,21.8,2.06,17.74,10/16/2022,17:59:36,10.583,0.116
keto,Keto BLT Bites,american,62.15,43.66,73.72,10/16/2022,17:59:36,1.423,0.592
keto,Keto Cheese Meatballs,american,118.08,6.55,131.91,10/16/2022,17:59:36,18.027,0.05
keto,Keto Avocado Fries,american,93.17,66.17,168.71,10/16/2022,17:59:36,1.408,0.392
keto,Keto Sausage Balls,eastern europe,119.73,14.14,193.29,10/16/2022,17:59:36,8.467,0.073
keto,Keto Pumpkin Bread,american,28.78,31.33,113.55,10/16/2022,17:59:36,0.919,0.276
keto,Keto Sriracha Mayo,south east asian,0.22,3.83,178.0,10/16/2022,17:59:36,0.057,0.022
keto,Keto Avocado Dip,caribbean,11.03,59.95,59.43,10/16/2022,17:59:36,0.184,1.009
keto,Keto Orange Creamsicles,american,4.88,48.22,88.06,10/16/2022,17:59:36,0.101,0.548
keto,Keto Crustless Quiche,french,145.52,23.95,286.14,10/16/2022,17:59:43,6.076,0.084
keto,Coconut Macaroons,french,11.76,75.07,62.84,10/16/2022,17:59:43,0.157,1.195
keto,Keto Stuffed Artichokes,mediterranean,34.57,40.75,114.23,10/16/2022,17:59:43,0.848,0.357
keto,Keto Pie Crust,american,57.68,96.27,155.31,10/16/2022,17:59:43,0.599,0.62
keto,Keto Cabbage Salad,middle eastern,6.05,13.76,25.26,10/16/2022,17:59:43,0.44,0.545
keto,Keto Waffles recipes,mediterranean,34.01,71.95,127.4,10/16/2022,17:59:43,0.473,0.565
keto,Keto Pizza Chicken,italian,312.74,44.29,307.03,10/16/2022,17:59:43,7.061,0.144
keto,Keto Pizza Chicken,italian,300.94,28.82,128.27,10/16/2022,17:59:43,10.442,0.225
keto,Keto Pink Lemonade,caribbean,5.98,51.45,1.69,10/16/2022,17:59:43,0.116,30.444
keto,Keto Shrimp Scampi,south american,133.83,331.82,58.61,10/16/2022,17:59:43,0.403,5.661
keto,Keto Panna Cotta,italian,38.73,121.28,222.83,10/16/2022,17:59:43,0.319,0.544
keto,Keto Chocolate Shake,american,21.1,38.16,195.52,10/16/2022,17:59:43,0.553,0.195
keto,Keto Eggnog recipes,american,39.75,76.44,243.62,10/16/2022,17:59:43,0.52,0.314
keto,Keto Chicken Parmesan,french,78.07,12.2,68.31,10/16/2022,17:59:43,6.399,0.179
keto,Nutty Keto Chcocolate,american,13.45,27.01,180.93,10/16/2022,17:59:43,0.498,0.149
keto,Keto Fried Chicken,american,144.72,30.81,202.39,10/16/2022,17:59:43,4.697,0.152
keto,Keto Fried Chicken,american,89.93,24.98,112.01,10/16/2022,17:59:50,3.6,0.223
keto,Keto Jalapeño Poppers,french,31.03,11.72,96.54,10/16/2022,17:59:50,2.648,0.121
keto,Keto Chocolate Mousse,french,8.77,36.14,99.24,10/16/2022,17:59:50,0.243,0.364
keto,"Keto Chocolate Cashew Cream Bites - Keto, Paleo, Vegan",american,54.58,120.22,210.31,10/16/2022,17:59:50,0.454,0.572
keto,Keto Cauliflower Gratin,french,31.08,31.9,61.99,10/16/2022,17:59:50,0.974,0.515
keto,Keto Pumpkin Pie,american,35.05,55.79,79.23,10/16/2022,17:59:50,0.628,0.704
keto,Keto Parmesan Meatballs,italian,236.97,17.45,244.23,10/16/2022,17:59:50,13.58,0.071
keto,Keto Honey Mustard,american,0.62,3.08,89.16,10/16/2022,17:59:50,0.201,0.035
keto,Keto Antipasto Skewers,italian,165.42,8.11,276.26,10/16/2022,17:59:50,20.397,0.029
keto,Deviled Eggs (Keto),mediterranean,101.59,15.32,104.48,10/16/2022,17:59:50,6.631,0.147
keto,Keto Potato Salad,american,20.46,83.52,62.05,10/16/2022,17:59:50,0.245,1.346
keto,Keto Chocolate Mousse,french,11.18,24.49,91.01,10/16/2022,17:59:50,0.457,0.269
keto,Keto Fat Bombs,french,18.54,384.27,41.57,10/16/2022,17:59:50,0.048,9.244
keto,Keto Mashed Cauliflower,american,32.19,75.85,117.07,10/16/2022,17:59:50,0.424,0.648
keto,Keto Fudge recipes,american,5.36,44.76,233.0,10/16/2022,17:59:56,0.12,0.192
keto,Keto Pizza recipes,italian,87.58,41.23,149.7,10/16/2022,17:59:56,2.124,0.275
keto,Keto almond bread,american,12.67,8.04,30.28,10/16/2022,17:59:56,1.576,0.266
keto,Keto Jalapeno Poppers,mexican,35.31,14.29,125.68,10/16/2022,17:59:56,2.471,0.114
keto,Keto Pot Pie,american,233.05,384.96,231.92,10/16/2022,17:59:56,0.605,1.66
keto,Keto Chicken Cutlets,french,237.83,41.18,181.19,10/16/2022,17:59:56,5.775,0.227
keto,Keto Casserole recipes,italian,207.98,31.56,355.12,10/16/2022,17:59:56,6.59,0.089
keto,Keto Beef Brisket,british,325.11,16.4,431.93,10/16/2022,17:59:56,19.824,0.038
keto,Keto Shrimp Alfredo,italian,161.94,48.16,207.62,10/16/2022,17:59:56,3.363,0.232
keto,Keto Chicken Strips,american,163.47,4.71,176.78,10/16/2022,17:59:56,34.707,0.027
keto,Keto Pumpkin Chili,american,215.81,178.43,129.92,10/16/2022,17:59:56,1.209,1.373
keto,Keto Pizza with Pepperoni,italian,63.06,32.31,79.06,10/16/2022,17:59:56,1.952,0.409
keto,Almond Keto Hummus,mediterranean,36.9,47.5,106.68,10/16/2022,17:59:56,0.777,0.445
keto,Keto Butter Burgers,american,91.8,1.77,121.45,10/16/2022,17:59:56,51.864,0.015
keto,Keto fried fish,south east asian,80.16,14.58,79.57,10/16/2022,17:59:56,5.498,0.183
keto,Fish Nuggets (Keto),mediterranean,121.07,3.12,72.49,10/16/2022,18:00:03,38.804,0.043
keto,Keto Fried Fish,south east asian,110.93,20.28,53.53,10/16/2022,18:00:03,5.47,0.379
keto,Keto Teriyaki Beef,japanese,101.88,5.57,27.28,10/16/2022,18:00:03,18.291,0.204
keto,Keto Taco Salad,mexican,159.84,62.11,241.17,10/16/2022,18:00:03,2.573,0.258
keto,Keto Sushi recipes,japanese,50.73,50.43,80.83,10/16/2022,18:00:03,1.006,0.624
keto,Keto Okonomi Sauce,world,5.59,26.02,9.62,10/16/2022,18:00:03,0.215,2.705
keto,Keto Homemade Mayo,american,5.45,2.27,225.06,10/16/2022,18:00:03,2.401,0.01
keto,Keto taco shells,mexican,21.47,22.41,28.4,10/16/2022,18:00:03,0.958,0.789
keto,Crustless Keto Cheesecake,american,79.51,105.99,423.9,10/16/2022,18:00:03,0.75,0.25
keto,Keto Avocado Dessert,american,5.27,21.55,51.49,10/16/2022,18:00:03,0.245,0.419
keto,Keto Zuppa Toscana,italian,140.0,105.13,341.34,10/16/2022,18:00:10,1.332,0.308
keto,Keto Chicken Taquitos,mexican,95.91,23.38,106.85,10/16/2022,18:00:10,4.102,0.219
keto,Spooky Halloween Spiced Carrot Jellies,american,49.71,27.03,0.59,10/16/2022,18:00:10,1.839,45.814
keto,Keto Chicken Piccata,french,194.27,13.27,160.06,10/16/2022,18:00:10,14.64,0.083
keto,Keto Caesar Salad,american,25.94,15.13,37.12,10/16/2022,18:00:10,1.714,0.408
keto,Keto Rye Bagel,eastern europe,119.08,43.44,167.82,10/16/2022,18:00:10,2.741,0.259
keto,Keto Mug Lasagne,italian,49.11,11.62,73.96,10/16/2022,18:00:10,4.226,0.157
keto,Keto Pizza Dip,italian,70.78,33.6,119.7,10/16/2022,18:00:10,2.107,0.281
keto,EZ Keto Pizza,italian,127.5,25.61,213.62,10/16/2022,18:00:10,4.979,0.12
keto,Tuscan Keto Chicken,italian,271.64,29.01,169.33,10/16/2022,18:00:10,9.364,0.171
keto,Keto Pimento Cheese,south american,69.63,21.08,199.18,10/16/2022,18:00:10,3.303,0.106
keto,Keto Chocolate Cake,american,78.03,256.83,380.19,10/16/2022,18:00:10,0.304,0.676
keto,Keto Butter Chicken,american,157.6,55.84,114.83,10/16/2022,18:00:10,2.822,0.486
keto,Keto Waldorf Salad,american,6.74,27.28,63.62,10/16/2022,18:00:10,0.247,0.429
keto,Keto Cheddar Biscuits,american,68.93,173.85,46.0,10/16/2022,18:00:16,0.396,3.779
keto,Keto Salad recipes,american,47.16,30.61,65.69,10/16/2022,18:00:16,1.541,0.466
keto,Keto Tuna Salad,american,169.41,24.22,90.26,10/16/2022,18:00:16,6.995,0.268
keto,Ultimate Keto Hamburgers,american,60.89,64.68,115.62,10/16/2022,18:00:16,0.941,0.559
keto,Keto Krab Kakes,american,95.15,26.93,93.95,10/16/2022,18:00:16,3.533,0.287
keto,Dublin Coddle | Keto,american,108.42,71.48,203.66,10/16/2022,18:00:16,1.517,0.351
keto,Keto Sausage Balls,american,211.1,620.21,208.52,10/16/2022,18:00:16,0.34,2.974
keto,Greek Keftedes (keto),mediterranean,104.13,27.04,94.8,10/16/2022,18:00:16,3.851,0.285
keto,Keto Tuna Salad,american,85.02,10.29,113.08,10/16/2022,18:00:16,8.262,0.091
keto,Keto Za'atar Buns,mediterranean,43.81,28.82,124.03,10/16/2022,18:00:16,1.52,0.232
keto,Instant Pot Chicken Soup with Mushrooms and Kale,french,271.76,95.75,240.31,10/16/2022,18:00:16,2.838,0.398
keto,Paleo/Keto Pizza,italian,78.8,24.95,119.75,10/16/2022,18:00:16,3.158,0.208
keto,Keto Taco Casserole,italian,141.68,33.58,139.03,10/16/2022,18:00:16,4.219,0.242
keto,Easy Keto Meatballs,american,274.94,18.12,323.69,10/16/2022,18:00:16,15.173,0.056
keto,Low Carb Meatballs alla Parmigiana,italian,184.22,36.65,205.05,10/16/2022,18:00:16,5.026,0.179
keto,Keto Chicken Parmesan,italian,195.76,30.86,148.65,10/16/2022,18:00:23,6.343,0.208
keto,Keto Beef Wellington,british,53.77,11.15,86.13,10/16/2022,18:00:23,4.822,0.129
keto,Keto Pumpkin Soup,american,38.95,116.24,54.05,10/16/2022,18:00:23,0.335,2.151
keto,Keto Salmon Nuggets,nordic,200.55,58.29,132.99,10/16/2022,18:00:23,3.441,0.438
keto,Keto Mozzarella Sticks,italian,75.05,18.11,66.24,10/16/2022,18:00:23,4.144,0.273
keto,Keto Raspberry Fudge,american,28.45,40.64,302.77,10/16/2022,18:00:23,0.7,0.134
keto,Avocado Keto Hummus,mediterranean,19.39,46.51,77.36,10/16/2022,18:00:23,0.417,0.601
keto,Keto Meatloaf Recipe,american,134.58,37.58,265.63,10/16/2022,18:00:23,3.581,0.141
keto,Keto Avocado Salsa,mexican,10.92,50.64,87.58,10/16/2022,18:00:23,0.216,0.578
keto,Keto Zucchini Lasagna,italian,319.91,94.76,360.94,10/16/2022,18:00:23,3.376,0.263
keto,Keto Apple Crisp,american,25.26,64.02,110.89,10/16/2022,18:00:23,0.395,0.577
keto,Keto Blueberry Biscuits,american,89.7,208.07,367.33,10/16/2022,18:00:23,0.431,0.566
keto,Sara Louise's Keto Keto Southern Chicken Fried Steak,american,418.37,46.63,434.84,10/16/2022,18:00:23,8.972,0.107
keto,Keto Chicken Divan,american,248.66,51.4,246.64,10/16/2022,18:00:23,4.838,0.208
keto,Keto Lobster Cakes,american,98.58,9.85,43.58,10/16/2022,18:00:23,10.008,0.226
keto,Keto Steak and Eggs,american,40.01,5.81,47.38,10/16/2022,18:00:23,6.886,0.123
keto,2 Ingredient Keto Pasta,italian,58.83,7.03,68.54,10/16/2022,18:00:30,8.368,0.103
keto,Keto Cauliflower Tabbouleh,middle eastern,17.9,50.93,90.54,10/16/2022,18:00:30,0.351,0.563
keto,Keto Caramel Cake,american,123.47,527.23,258.11,10/16/2022,18:00:30,0.234,2.043
keto,Keto Okonomiyaki recipes,french,21.37,23.35,100.43,10/16/2022,18:00:30,0.915,0.233
keto,Keto Chili recipes,american,156.97,69.74,236.85,10/16/2022,18:00:30,2.251,0.294
keto,Keto NY Cheesecake,american,67.15,42.75,314.17,10/16/2022,18:00:30,1.571,0.136
keto,Keto Stuffed Peppers,american,158.77,60.31,175.56,10/16/2022,18:00:30,2.633,0.344
keto,Creamy Keto Carbonara,italian,45.83,80.89,92.68,10/16/2022,18:00:30,0.567,0.873
keto,Keto Cuban Sandwich,caribbean,143.61,59.18,229.7,10/16/2022,18:00:30,2.427,0.258
keto,Homemade Keto MoonPies,american,67.75,296.29,248.01,10/16/2022,18:00:30,0.229,1.195
keto,Keto Marinated Cheese,american,63.28,24.95,253.05,10/16/2022,18:00:30,2.536,0.099
keto,Zucchini Breadsticks,italian,83.48,19.97,89.71,10/16/2022,18:00:30,4.18,0.223
keto,Keto taco skillet,mexican,249.07,34.5,118.19,10/16/2022,18:00:37,7.219,0.292
keto,Keto Chicken Fritters,american,133.95,21.22,163.38,10/16/2022,18:00:37,6.312,0.13
keto,Keto Italian Grilled Fish | Low-Carb Keto Fish Recipe,italian,201.26,1.92,71.41,10/16/2022,18:00:37,104.823,0.027
keto,Keto Fish Pie,american,136.85,84.33,269.44,10/16/2022,18:00:37,1.623,0.313
keto,Keto Mug Cake,american,19.73,87.96,30.93,10/16/2022,18:00:37,0.224,2.844
keto,Keto Banana Pudding,british,49.05,187.27,345.3,10/16/2022,18:00:37,0.262,0.542
keto,Keto Chicken and Peppers,british,91.62,86.47,117.3,10/16/2022,18:00:37,1.06,0.737
keto,Keto Pizza with Pepperoni,italian,40.27,51.97,48.7,10/16/2022,18:00:37,0.775,1.067
keto,Keto Chocolate-Coconut Mousse,french,15.39,9.46,16.57,10/16/2022,18:00:37,1.627,0.571
keto,Keto Cocoa Mug Cake,american,22.33,17.21,57.84,10/16/2022,18:00:37,1.298,0.298
keto,Keto 90 second bread,french,13.67,10.03,24.27,10/16/2022,18:00:37,1.363,0.413
keto,Blueberry cheesecake Keto,american,93.43,382.29,131.79,10/16/2022,18:00:37,0.244,2.901
keto,Keto Chocolate Mini Cheesecakes,american,42.28,47.39,212.13,10/16/2022,18:00:43,0.892,0.223
keto,Mounds Keto Fat Bomb,american,12.02,45.95,193.48,10/16/2022,18:00:43,0.262,0.237
keto,Keto Pumpkin Spice Martini,american,3.06,3.93,25.23,10/16/2022,18:00:43,0.779,0.156
keto,Keto Bacon Cheeseburger Casserole,american,176.27,11.32,352.91,10/16/2022,18:00:43,15.572,0.032
keto,Keto Fried Coconut Shrimp,mediterranean,32.8,63.57,146.25,10/16/2022,18:00:43,0.516,0.435
keto,Filipino Chicken Adobo,asian,45.84,34.22,50.88,10/16/2022,18:00:43,1.34,0.673
keto,Keto smothered pork chops,american,206.46,49.06,218.8,10/16/2022,18:00:43,4.208,0.224
keto,Easy Keto Zucchini Frittata,italian,51.07,29.01,98.83,10/16/2022,18:00:43,1.76,0.294
keto,Simple Cauliflower Keto Casserole,italian,34.78,18.28,83.0,10/16/2022,18:00:43,1.903,0.22
keto,Brazilian Keto Shrimp Stew,south american,146.23,33.22,107.08,10/16/2022,18:00:43,4.402,0.31
keto,Easy Keto Beef Tacos,mexican,151.48,26.84,216.18,10/16/2022,18:00:43,5.644,0.124
keto,Keto Chicken Taco Shells,mexican,99.9,3.12,61.28,10/16/2022,18:00:43,32.019,0.051
keto,Keto Cauliflower Hash Browns,american,49.86,20.03,61.7,10/16/2022,18:00:43,2.489,0.325
keto,Spooky Halloween Low-Carb Pizza,italian,60.56,213.5,53.45,10/16/2022,18:00:43,0.284,3.994
keto,KETO! Avocodo chocolate pudding,british,8.24,29.86,32.41,10/16/2022,18:00:50,0.276,0.921
keto,Keto Sweetened Condensed Milk,american,9.87,93.1,214.32,10/16/2022,18:00:50,0.106,0.434
keto,Keto Spinach Stuffed Chicken,italian,230.26,4.42,149.39,10/16/2022,18:00:50,52.095,0.03
keto,Keto Egg Drop Soup,chinese,21.31,9.11,60.88,10/16/2022,18:00:50,2.339,0.15
keto,Keto-Friendly Cinnamon Biscuits,american,50.8,32.85,118.02,10/16/2022,18:00:50,1.546,0.278
keto,Keto Brown Butter Pralines,american,25.17,35.37,398.91,10/16/2022,18:00:50,0.712,0.089
keto,Keto Blueberry Lemon Muffins,american,71.25,66.39,258.79,10/16/2022,18:00:50,1.073,0.257
keto,Keto Cabbage Beef Stew,american,350.23,146.21,71.28,10/16/2022,18:00:50,2.395,2.051
keto,Keto Maple Glazed Ham,american,603.05,211.03,312.79,10/16/2022,18:00:50,2.858,0.675
keto,Keto Smothered Chicken Thighs,mediterranean,127.15,15.34,174.88,10/16/2022,18:00:50,8.289,0.088
keto,Keto Smothered Green Beans,american,93.62,38.53,169.33,10/16/2022,18:00:50,2.43,0.228
keto,Keto Chicken Nuggets recipes,american,32.52,3.99,23.14,10/16/2022,18:00:50,8.15,0.172
keto,Keto Pizza Chips recipes,italian,120.21,1.61,211.79,10/16/2022,18:00:50,74.665,0.008
keto,Keto Parmesan Roasted Broccoli,british,36.86,21.07,48.44,10/16/2022,18:00:57,1.749,0.435
keto,Lazy Keto Chicken recipes,american,115.17,7.89,116.85,10/16/2022,18:00:57,14.597,0.068
keto,Keto Chocolate Mousse recipes,french,26.65,90.2,127.47,10/16/2022,18:00:57,0.295,0.708
keto,Keto Chicken Crust Pizza,italian,121.29,8.74,78.52,10/16/2022,18:00:57,13.878,0.111
keto,Keto Zucchini Dip recipes,american,7.53,12.68,120.49,10/16/2022,18:00:57,0.594,0.105
keto,Keto Low Carb Tortillas,mexican,22.27,20.22,35.77,10/16/2022,18:00:57,1.101,0.565
keto,Keto Broccoli Cheddar Soup,italian,84.89,169.9,158.46,10/16/2022,18:00:57,0.5,1.072
keto,Keto Egg Salad recipes,american,52.53,13.15,157.18,10/16/2022,18:00:57,3.995,0.084
keto,Classic Pub Goulash (Keto),american,108.19,55.27,63.37,10/16/2022,18:00:57,1.957,0.872
keto,keto Strawberry fat bombs,french,14.41,21.27,159.68,10/16/2022,18:00:57,0.677,0.133
keto,Mayo-Free Avocado Green Goddess Dressing,caribbean,5.34,22.77,138.31,10/16/2022,18:00:57,0.235,0.165
keto,Keto Bone Broth Latte,american,0.26,1.53,26.54,10/16/2022,18:00:57,0.17,0.058
keto,Keto Strawberry Ice Cream,american,12.68,23.77,220.37,10/16/2022,18:00:57,0.533,0.108
keto,Keto Egg Drop Soup,american,40.17,5.65,56.92,10/16/2022,18:00:57,7.11,0.099
keto,Keto Sausage Egg Casserole,italian,163.99,16.37,220.17,10/16/2022,18:00:57,10.018,0.074
keto,Keto Low Carb Flatbread,american,137.31,25.3,174.15,10/16/2022,18:00:57,5.427,0.145
keto,Keto Nut Pralines recipes,american,48.65,96.64,332.16,10/16/2022,18:00:57,0.503,0.291
keto,Keto Zucchini Fritters Recipe,south east asian,35.11,92.12,76.4,10/16/2022,18:01:03,0.381,1.206
keto,Keto Creamsicle Jello recipes,american,11.21,21.29,133.44,10/16/2022,18:01:03,0.527,0.16
keto,Keto Chocolate Pudding recipes,british,8.25,17.91,24.85,10/16/2022,18:01:03,0.461,0.721
keto,Easy Keto Fried Halloumi,chinese,32.29,9.76,75.29,10/16/2022,18:01:03,3.308,0.13
keto,Keto lemon mug cake,british,11.76,27.03,28.81,10/16/2022,18:01:03,0.435,0.938
keto,Collagen Keto Chocolate Mousse,american,13.73,44.37,30.89,10/16/2022,18:01:03,0.309,1.436
keto,Keto Cinnamon Fat Bombs,indian,4.85,13.46,253.72,10/16/2022,18:01:03,0.36,0.053
keto,Creamy Mushroom Keto Casserole,french,286.77,58.87,341.38,10/16/2022,18:01:03,4.871,0.172
keto,"CinnaBombs (Keto, Paleo, Vegan)",american,17.52,17.89,100.77,10/16/2022,18:01:03,0.979,0.178
keto,Keto Blueberry Ice Cream,american,7.11,18.59,98.01,10/16/2022,18:01:03,0.382,0.19
keto,Walnut Keto Fudge recipes,american,17.41,45.35,166.73,10/16/2022,18:01:03,0.384,0.272
keto,Keto Brussel Sprouts Casserole,italian,62.81,84.39,64.27,10/16/2022,18:01:03,0.744,1.313
keto,Keto Pancake Breakfast Sandwich,american,21.78,3.68,52.63,10/16/2022,18:01:10,5.918,0.07
keto,Keto Buddha Bowl Recipe,british,31.21,73.78,112.43,10/16/2022,18:01:10,0.423,0.656
keto,Keto Parmesan Cauliflower Risotto,italian,22.27,30.04,55.67,10/16/2022,18:01:10,0.741,0.54
keto,Keto Bacon Burger Bombs,american,177.36,13.04,336.54,10/16/2022,18:01:10,13.601,0.039
keto,Cheesy Keto Pizza Crust,italian,34.24,7.21,47.55,10/16/2022,18:01:10,4.749,0.152
keto,Keto Egg Drop Soup,chinese,8.81,6.11,5.21,10/16/2022,18:01:10,1.442,1.173
keto,Keto Chocolate Fat Bombs,french,34.63,60.92,184.27,10/16/2022,18:01:10,0.568,0.331
keto,Keto Guacamole Egg Stacks,american,14.96,15.11,23.24,10/16/2022,18:01:10,0.99,0.65
keto,Keto Bacon Cheeseburger Soup,american,160.71,64.62,240.86,10/16/2022,18:01:10,2.487,0.268
keto,Low Carb Baked Beans with Beef,american,183.68,114.11,166.31,10/16/2022,18:01:10,1.61,0.686
keto,Keto Raspberry Valentines recipes,american,7.55,17.0,139.56,10/16/2022,18:01:10,0.444,0.122
keto,Keto Fried Mozzarella Bites,italian,57.18,39.42,113.75,10/16/2022,18:01:10,1.451,0.347
keto,Keto Chicken-Broccoli Casserole,italian,136.12,26.1,214.11,10/16/2022,18:01:10,5.215,0.122
keto,Keto Chicken Pesto Burgers,american,131.09,14.73,107.32,10/16/2022,18:01:10,8.9,0.137
keto,Keto Breakfast Tacos recipes,mexican,113.6,18.01,170.84,10/16/2022,18:01:10,6.308,0.105
keto,Keto Spinach Pesto Flatbread,italian,92.48,32.8,148.68,10/16/2022,18:01:17,2.82,0.221
keto,Keto Flatbread Pizza Recipe,italian,77.72,59.31,169.34,10/16/2022,18:01:17,1.31,0.35
keto,Garlic Parmesan Keto Croutons,italian,23.3,37.68,44.5,10/16/2022,18:01:17,0.618,0.847
keto,Keto Pizza in a bowl,italian,64.92,1.03,105.03,10/16/2022,18:01:17,63.029,0.01
keto,Keto Pancakes: Cinnamon Delight,american,28.94,36.86,157.86,10/16/2022,18:01:17,0.785,0.233
keto,Keto Jalapeno Popper Bites,french,158.56,49.97,277.41,10/16/2022,18:01:17,3.173,0.18
keto,Keto Cream Cheese Waffles,american,53.57,28.28,94.38,10/16/2022,18:01:17,1.894,0.3
keto,Keto Buffalo Chicken Taquitos,american,101.01,4.97,174.56,10/16/2022,18:01:17,20.324,0.028
keto,Savory Keto Cauliflower Mash,british,19.56,49.45,17.55,10/16/2022,18:01:17,0.396,2.818
keto,Keto Garlic Gnocchi recipes,italian,56.61,8.61,63.76,10/16/2022,18:01:17,6.575,0.135
keto,Keto Neapolitan Chia Pudding,british,19.05,52.65,34.11,10/16/2022,18:01:17,0.362,1.544
keto,Keto Philly Cheesesteak Omelet,american,61.45,8.99,83.91,10/16/2022,18:01:17,6.835,0.107
keto,Quick Keto Chocolate Mousse,american,9.6,13.79,74.63,10/16/2022,18:01:17,0.696,0.185
keto,Keto Chocolate Souffle' recipes,french,50.09,44.97,99.54,10/16/2022,18:01:17,1.114,0.452
keto,Keto Taco Bake Recipe,mexican,139.96,33.93,128.84,10/16/2022,18:01:24,4.125,0.263
keto,Keto Cheddar Bay Biscuits,american,47.64,22.76,109.96,10/16/2022,18:01:24,2.093,0.207
keto,Keto Jalapeño Popper Bread,mexican,63.28,189.3,176.56,10/16/2022,18:01:24,0.334,1.072
keto,Keto Lemon Garlic Shrimp,mediterranean,92.9,10.08,39.16,10/16/2022,18:01:24,9.216,0.257
keto,Keto Pumpkin Carbonara recipes,italian,91.37,253.9,138.47,10/16/2022,18:01:24,0.36,1.834
keto,Rosemary Almond Keto Crackers,french,94.02,65.15,195.65,10/16/2022,18:01:24,1.443,0.333
keto,Keto Spinach-Artichoke Chicken,mediterranean,263.01,36.24,163.05,10/16/2022,18:01:24,7.257,0.222
keto,Keto Peanut Butter Mousse,french,23.49,22.81,115.99,10/16/2022,18:01:24,1.03,0.197
keto,Keto Hazelnut Truffles recipes,american,12.9,55.5,74.01,10/16/2022,18:01:24,0.232,0.75
keto,Keto Pie Crust recipes,american,34.13,79.9,72.89,10/16/2022,18:01:24,0.427,1.096
keto,Keto Paprika Chicken recipes,mediterranean,247.63,28.25,71.03,10/16/2022,18:01:24,8.766,0.398
keto,Keto White Chicken Chili,american,264.33,52.56,469.1,10/16/2022,18:01:24,5.029,0.112
keto,Keto Paleo Fat Bomb,french,24.77,61.79,99.51,10/16/2022,18:01:24,0.401,0.621
keto,Keto Classic Salad Recipe,american,15.98,14.88,13.42,10/16/2022,18:01:30,1.074,1.109
keto,Keto Chocolate Fat Bombs,french,12.21,52.95,129.45,10/16/2022,18:01:30,0.231,0.409
keto,Keto Spaghetti alla Carbonara,italian,187.41,497.15,156.57,10/16/2022,18:01:30,0.377,3.175
keto,Keto Peanut Butter mousse,french,9.16,77.88,82.86,10/16/2022,18:01:30,0.118,0.94
keto,Blueberry Keto Cake recipes,american,52.14,68.4,138.8,10/16/2022,18:01:30,0.762,0.493
keto,Keto Crab Dip Soup,american,156.46,46.93,205.16,10/16/2022,18:01:30,3.334,0.229
keto,Keto Burger Fat Bombs,nordic,91.8,1.77,121.45,10/16/2022,18:01:30,51.864,0.015
keto,Keto Stuffed Pork Chops,american,213.19,14.68,172.91,10/16/2022,18:01:30,14.522,0.085
keto,Easy Keto Berry Pavlova,eastern europe,15.09,32.01,44.72,10/16/2022,18:01:30,0.471,0.716
keto,Keto Chicken Queso Flameado,caribbean,71.25,3.28,58.38,10/16/2022,18:01:30,21.723,0.056
keto,Pork Rind Keto bread,american,144.68,15.62,206.49,10/16/2022,18:01:30,9.262,0.076
keto,Keto Creamed Spinach Recipe,french,12.52,13.59,129.29,10/16/2022,18:01:30,0.921,0.105
keto,Whole30 + Keto Ranch Dressing,american,1.51,5.32,14.23,10/16/2022,18:01:30,0.284,0.374
keto,Keto Pesto Chicken Pasta,italian,93.66,25.74,125.36,10/16/2022,18:01:30,3.639,0.205
keto,Keto chicken parmi bowl,italian,176.23,91.02,205.88,10/16/2022,18:01:37,1.936,0.442
keto,Easy Keto Sesame Broccoli,chinese,18.72,36.85,33.67,10/16/2022,18:01:37,0.508,1.094
keto,Cheesy Keto Pinwheels recipes,american,82.63,342.01,105.41,10/16/2022,18:01:37,0.242,3.245
keto,Easy Baked Keto Goulash,american,230.67,109.89,111.04,10/16/2022,18:01:37,2.099,0.99
keto,Spinach & Watercress Keto Salad,middle eastern,32.9,26.88,103.77,10/16/2022,18:01:37,1.224,0.259
keto,Crunchy Keto Pita Chips,middle eastern,32.99,20.05,52.57,10/16/2022,18:01:37,1.645,0.381
keto,Keto Crab Stuffed Mushrooms,american,77.73,14.88,74.3,10/16/2022,18:01:37,5.224,0.2
keto,Keto Sausage Balls recipes,american,168.99,32.34,270.93,10/16/2022,18:01:37,5.225,0.119
keto,Easy Keto Marinara Chicken,italian,59.28,7.53,26.75,10/16/2022,18:01:37,7.873,0.281
